system   I             system.c:245  al_install_system                [   0.00037] Allegro version: 5.1.12 (WIP)
dtor     D               dtor.c:214  _al_unregister_destructor        [  13.76357] removed dtor for object 082AC468
dtor     D               dtor.c:214  _al_unregister_destructor        [  13.76360] removed dtor for object 082F9470
audio-dsound D           dsound.cpp:539  _dsound_stop_voice               [  13.76362] Stopping voice
audio-dsound D           dsound.cpp:556  _dsound_stop_voice               [  13.76363] Joining thread
audio-dsound D           dsound.cpp:562  _dsound_stop_voice               [  13.76625] Joined thread
audio-dsound D           dsound.cpp:564  _dsound_stop_voice               [  13.76627] Destroying thread
audio-dsound D           dsound.cpp:566  _dsound_stop_voice               [  13.76630] Thread destroyed
audio-dsound D           dsound.cpp:573  _dsound_stop_voice               [  13.76631] Releasing buffer
audio-dsound I           dsound.cpp:577  _dsound_stop_voice               [  13.76633] Voice stopped
dtor     D               dtor.c:214  _al_unregister_destructor        [  13.76635] removed dtor for object 08E7B080
audio-dsound D           dsound.cpp:389  _dsound_deallocate_voice         [  13.76641] Deallocating voice
audio-dsound D           dsound.cpp:394  _dsound_deallocate_voice         [  13.76643] Deallocated voice
audio-dsound D           dsound.cpp:303  _dsound_close                    [  13.76645] Releasing device
audio-dsound D           dsound.cpp:305  _dsound_close                    [  13.77202] Released device
audio-dsound I           dsound.cpp:308  _dsound_close                    [  13.77206] DirectSound closed
font     E                ttf.c:1031 al_shutdown_ttf_addon            [  13.77211] TTF addon not initialised.
dtor     D               dtor.c:114  _al_run_destructors              [  14.32740] calling dtor for object 038C5080, func 0F5A41E2
dtor     D               dtor.c:214  _al_unregister_destructor        [  14.32743] removed dtor for object 038C5080
dtor     D               dtor.c:114  _al_run_destructors              [  14.32744] calling dtor for object 038C4F18, func 0F5A41E2
dtor     D               dtor.c:214  _al_unregister_destructor        [  14.32746] removed dtor for object 038C4F18
dtor     D               dtor.c:114  _al_run_destructors              [  14.32747] calling dtor for object 038C4DB0, func 0F5A41E2
dtor     D               dtor.c:214  _al_unregister_destructor        [  14.32749] removed dtor for object 038C4DB0
